2022-03-15||08:45:00||Coffee||Starbucks||$3.95,
2022-05-21||13:00:45||Lunch||Chipotle||$10.50,
2023-07-30||17:30:36||Gas||Chevron||$42.80,
2023-11-12||19:20:22||Groceries||Target||$93.50,
2024-12-05||13:00:25||Deposit||Paychex||$2,500,
2024-01-18||09:10:01||Gym Membership||Planet Fitness||$25.00,
2024-04-22||20:45:31||Dinner||Olive Garden||$32.75,
2024-06-05||10:00:25||Online Subscription||Spotify||$9.99,
2024-06-05||13:00:25||Deposit||Paychex||$2,500,
2024-07-05||13:00:25||Deposit||Paychex||$2,500,
2024-09-28||16:15:06||Shoes||Nike Store||$79.99,
2024-10-14||11:50:19||Taxi Ride||Lyft||$18.65,
2024-10-16||07:20:35||Breakfast||IHOP||$14.30